Ticker,ANN,LSTM_1D,LSTM_2D,LSTM_3D
AAPL,163.4120888316622,259.60871355975337,689.8640301645838,1434.9229979705583
AMD,234.63552276190399,133.06767590418184,65.81179481396572,110.37584870889093
AMZN,29.261996977239388,88.7846175602594,108.16821231774394,123.41682567413767
CRM,297.04112255999235,299.641082504329,105.7352125582664,97.69420221917431
GOOGL,472.74581207278226,76.34604588676974,107.80831318291031,371.59028805681857
INTC,2.3661295598988876,2.298837677529144,3.1838851401510793,3.441883187055771
META,351.59870775795855,504.80570713521166,497.74196618368535,816.5214290192109
MSFT,351.6888280408218,1879.7709807268839,3300.9309711744327,826.1254407679188
NVDA,18895.247365439332,2316.389796880638,2711.488823573559,4926.299989103569
TSLA,543.4332422015651,700.7156721260905,1281.9558633091326,1102.4886910758205
