Ticker,ANN,LSTM_1D,LSTM_2D,LSTM_3D
AAPL,0.6047592065710956,0.3720908002460275,-0.668557134234989,-2.470612904358018
AMD,0.598449811356287,0.7722708406095607,0.8873711094063716,0.8111051457637121
AMZN,0.960905094474169,0.8813810882980675,0.8554840243900819,0.8351114196416147
CRM,0.8272904023551146,0.8257786990865259,0.9385220273191419,0.9431973384287762
GOOGL,-0.6206366705292106,0.738275414706464,0.6304185012955266,-0.27386183411536646
INTC,0.9751462976591797,0.9758531281061322,0.9665566354007862,0.9638466372794
META,0.9475125392773126,0.9246414473625206,0.9256959387971243,0.87810781015617
MSFT,0.8100059436746141,-0.015515094922475825,-0.7832732087546705,0.5536994325367782
NVDA,-0.2589179666481791,0.8456678191793676,0.8193438841871907,0.6717794985460348
TSLA,0.8273755264149535,0.7774139220053586,0.5927798690295771,0.6497885753925962
