Ticker,ANN,LSTM_1D,LSTM_2D,LSTM_3D
AAPL,11.737926980723506,15.307156148164168,25.098095676173333,35.34755441416865
AMD,11.984181020570839,10.105144288228905,6.213951898657757,8.009595824324567
AMZN,4.31816173636395,8.034829637278682,8.950901093690291,9.088744101317033
CRM,15.51292752183002,15.416074628415315,8.26949283351069,8.022179956021516
GOOGL,20.476500490437385,8.154612033263497,9.481312990188599,18.221520330594934
INTC,1.2495866288309512,1.2265547099320784,1.4538717503133027,1.505002242067586
META,14.76294583859651,18.91265402669492,18.765251595041025,23.22433793026468
MSFT,16.496576661648934,41.0258511667666,53.51698520909183,26.960996379022987
NVDA,106.7051101974819,37.30428311099177,36.7490205972091,42.49627715608348
TSLA,19.061052840688955,21.92708816735641,29.312390306721564,26.80508544134057
